,Round,Build,Startdate,Timepoint,Cage,IdRFID,Animal,ARF_Cage,Injury,Sex,Cage_N,weight_pre,weight_post,weight_diff,notes,index,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool,day_count,min_count,sec_count,hour_count_running,min_count_running,sec_count_running,substance
0,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,1,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 19:51:51,drink_4,0.021,2022-11-11 19:51:51,1668196311.0,2022-11-11,11,19:51:51,19,51,51,dark_pm,etoh_02,8.77,041ABFF7BC,etoh_02,2022-11-11 19:51:44.387020800,2022-11-11 19:51:53.157020800,dark,1,0.0,same,1,1191,71511,19,1191,71451,02
1,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,5,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 21:15:56,drink_4,0.021,2022-11-11 21:15:56,1668201356.0,2022-11-11,11,21:15:56,21,15,56,dark_pm,etoh_02,3.592,041ABFF7BC,etoh_02,2022-11-11 21:14:55.025030400,2022-11-11 21:14:58.617030400,dark,1,57.382969,diff,1,1275,76556,21,1275,76496,02
2,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,19,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 21:46:35,drink_4,0.021,2022-11-11 21:46:35,1668203195.0,2022-11-11,11,21:46:35,21,46,35,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 21:46:33.672979200,2022-11-11 21:46:33.747979200,dark,1,1.25202,diff,1,1306,78395,21,1306,78335,02
3,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,20,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 21:46:38,drink_4,0.021,2022-11-11 21:46:38,1668203198.0,2022-11-11,11,21:46:38,21,46,38,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 21:46:33.672979200,2022-11-11 21:46:33.747979200,dark,1,4.25202,diff,1,1306,78398,21,1306,78338,02
4,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,97,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:12:05,drink_4,0.021,2022-11-11 23:12:05,1668208325.0,2022-11-11,11,23:12:05,23,12,5,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 23:12:00.096019200,2022-11-11 23:12:00.171019200,dark,1,4.82898,diff,1,1392,83525,23,1392,83465,02
5,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,98,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:12:06,drink_4,0.021,2022-11-11 23:12:06,1668208326.0,2022-11-11,11,23:12:06,23,12,6,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 23:12:00.096019200,2022-11-11 23:12:00.171019200,dark,1,5.82898,diff,1,1392,83526,23,1392,83466,02
6,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,99,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:12:08,drink_4,0.021,2022-11-11 23:12:08,1668208328.0,2022-11-11,11,23:12:08,23,12,8,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 23:12:00.096019200,2022-11-11 23:12:00.171019200,dark,1,7.82898,diff,1,1392,83528,23,1392,83468,02
7,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,102,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:12:13,drink_4,0.021,2022-11-11 23:12:13,1668208333.0,2022-11-11,11,23:12:13,23,12,13,dark_pm,etoh_02,147.875,041ABFF7BC,etoh_02,2022-11-11 23:12:12.734006400,2022-11-11 23:14:40.609006400,dark,1,0.0,same,1,1392,83533,23,1392,83473,02
8,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,123,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:28:19,drink_4,0.021,2022-11-11 23:28:19,1668209299.0,2022-11-11,11,23:28:19,23,28,19,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 23:28:15.042000000,2022-11-11 23:28:15.117000000,dark,1,3.883,diff,1,1408,84499,23,1408,84439,02
9,MPc1,4x6,22.11.11,1m,1,041ABFF7BC,2154,659,sham,male,4,30.7,,,,124,w_e05_e10_e2.5_MPc1_221111.csv,1,11/11/22 23:28:22,drink_4,0.021,2022-11-11 23:28:22,1668209302.0,2022-11-11,11,23:28:22,23,28,22,dark_pm,etoh_02,0.075,041ABFF7BC,etoh_02,2022-11-11 23:28:15.042000000,2022-11-11 23:28:15.117000000,dark,1,6.883,diff,1,1408,84502,23,1408,84442,02
